,x,y,db
0,0,30,81.63077747171741
1,-30,-45,84.48591617953866
2,30,45,79.56424738868495
3,0,-15,85.44724804668505
4,30,30,81.42296720676927
5,-15,30,81.93475532573288
6,-45,-45,84.04643092817933
7,15,15,84.90914264464219
8,-30,30,81.96129185939266
9,-30,45,80.15060994193749
10,-30,-15,85.546545828107
11,45,45,79.69968307632534
12,15,45,80.10667859263606
13,-45,0,85.09275284415139
14,15,-45,83.51073827547013
15,-30,0,85.26735827308086
16,0,-45,83.77746002562351
17,30,-30,84.1378825396834
18,-15,15,85.15488223622333
19,-45,-15,85.31267256387507
20,15,30,81.73782791638821
21,-30,15,85.22133679519293
22,45,0,83.69128922738784
23,-30,-30,85.32135596164636
24,45,-30,83.61159186454864
25,0,45,79.82072537670457
26,15,0,84.76250067454157
27,15,-15,85.1281481410183
28,-15,-45,84.14561165846709
29,-15,45,79.7594157583319
30,-15,0,85.2236462352728
31,-45,15,84.95393580770202
32,30,15,84.45519956406733
33,-45,-30,85.27015134441771
34,30,-15,84.67185794583858
35,-15,-30,85.1156152352435
36,-15,-15,85.4165669680265
37,0,15,84.80636496475844
38,45,-15,84.06799615663697
39,45,15,83.85854874093977
40,-45,30,81.36957030649118
41,0,-30,84.89640179583022
42,-45,45,79.71073881767386
43,45,30,80.82442275889301
44,0,0,84.99942551755053
45,15,-30,84.68777992541426
46,30,-45,83.02519903485647
47,30,0,84.3011409714363
48,45,-45,83.1374464162599
